-3.77832753,1,-3.88763056,2,-2.36237108,3,-3.46115204,4,2.00880985,5
-2.12480548,1,-1.93953949,2,-0.05963065,3,-2.02866487,4,3.14676924,5
-3.31648079,1,-3.05452063,2,-1.35924328,3,-3.32274686,4,3.37079507,5
0.43774881,1,0.41395923,2,2.66447945,3,-0.17358455,4,2.5711455,5
-0.89213095,1,-1.23304876,2,1.22466244,3,-1.74323062,4,2.11102702,5
-4.21345911,1,-4.18681107,2,0.8308325,3,-4.59310188,4,-0.03701388,5
-5.33749284,1,-4.89169028,2,-2.72272462,3,-4.78532345,4,1.35592157,5
-3.58990405,1,-3.40961997,2,-2.42927979,3,-3.0563141,4,2.55038827,5
-1.96082416,1,-1.77676812,2,-1.80335509,3,-1.96255892,4,0.9800938,5
-1.96220188,1,-0.74738459,2,-2.22969114,3,-1.79764242,4,-0.90798747,5
-2.98657985,1,-2.91600179,2,-2.80702048,3,-2.92823875,4,-0.31415572,5
-2.77431159,1,-2.65198714,2,-1.77683783,3,-2.69809179,4,-1.62752067,5
-2.02223303,1,-1.63071021,2,-2.49797518,3,-2.64044456,4,-1.44686977,5
-3.46128482,1,-2.83125791,2,-3.69650332,3,-4.03368283,4,-2.42764973,5
-2.63313201,1,-1.45922842,2,-2.52912858,3,-2.97066424,4,-2.12162426,5
-5.51129361,1,-4.91410585,2,-2.86895532,3,-6.0402779,4,-4.49201532,5
-4.79539993,1,-4.29343537,2,-1.9294416,3,-5.2651977,4,-4.67648586,5
-8.61899819,1,-8.63649588,2,-6.82012486,3,-9.40104368,4,-5.60065833,5
-5.75102855,1,-6.46870646,2,-6.36373422,3,-7.19793789,4,-5.15161307,5
-10.51805901,1,-10.59935405,2,-7.4085836,3,-11.10862089,4,-7.48222448,5
-11.79373045,1,-12.2419974,2,-7.96352076,3,-11.76603283,4,-7.32295995,5
-11.3085194,1,-11.78585083,2,-8.82851103,3,-11.07571435,4,-4.79272132,5
-13.21980677,1,-13.66436905,2,-11.6350231,3,-13.53459212,4,-2.42980401,5
-5.99420917,1,-6.63099711,2,-5.77753843,3,-6.06871704,4,0.24280575,5
-5.7935186,1,-5.61694443,2,-3.02445676,3,-5.19299114,4,1.60634976,5
